Date,Month,Year,Balneario_Gaivota
2015-12-31,December,2015,
2016-01-31,January,2016,307.65
2016-02-29,February,2016,491.29
2016-03-31,March,2016,184.16
2016-04-30,April,2016,16.58
2016-05-31,May,2016,193.33
2016-06-30,June,2016,114.79
2016-07-31,July,2016,18.93
2016-08-31,August,2016,116.5
2016-09-30,September,2016,42.9
2016-10-31,October,2016,224.06
2016-11-30,November,2016,258.23
2016-12-31,December,2016,109.58
2017-01-31,January,2017,236.6
2017-02-28,February,2017,42.82
2017-03-31,March,2017,459.76
2017-04-30,April,2017,181.08
2017-05-31,May,2017,76.19
2017-06-30,June,2017,120.68
2017-07-31,July,2017,11.28
2017-08-31,August,2017,72.01
2017-09-30,September,2017,18.97
2017-10-31,October,2017,135.45
2017-11-30,November,2017,191.74
2017-12-31,December,2017,203.3
2018-01-31,January,2018,212.69
2018-02-28,February,2018,207.41
2018-03-31,March,2018,235.05
2018-04-30,April,2018,231.77
2018-05-31,May,2018,117.85
2018-06-30,June,2018,120.69
2018-07-31,July,2018,47.72
2018-08-31,August,2018,47.97
2018-09-30,September,2018,
2018-10-31,October,2018,
2018-11-30,November,2018,
2018-12-31,December,2018,
2019-01-31,January,2019,
2019-02-28,February,2019,
2019-03-31,March,2019,
2019-04-30,April,2019,
2019-05-31,May,2019,
2019-06-30,June,2019,
2019-07-31,July,2019,
2019-08-31,August,2019,
2019-09-30,September,2019,
2019-10-31,October,2019,
2019-11-30,November,2019,
2019-12-31,December,2019,
2020-01-31,January,2020,227.57
2020-02-29,February,2020,676.87
2020-03-31,March,2020,215.0
2020-04-30,April,2020,34.76
2020-05-31,May,2020,33.8
2020-06-30,June,2020,
2020-07-31,July,2020,
2020-08-31,August,2020,
2020-09-30,September,2020,
2020-10-31,October,2020,
2020-11-30,November,2020,
2020-12-31,December,2020,
2021-01-31,January,2021,310.08
2021-02-28,February,2021,209.92
2021-03-31,March,2021,119.22
2021-04-30,April,2021,271.92
2021-05-31,May,2021,150.61
2021-06-30,June,2021,197.55
2021-07-31,July,2021,50.3
2021-08-31,August,2021,139.25
2021-09-30,September,2021,53.16
2021-10-31,October,2021,148.55
2021-11-30,November,2021,54.75
2021-12-31,December,2021,112.87
2022-01-31,January,2022,324.16
2022-02-28,February,2022,34.71
2022-03-31,March,2022,506.57
2022-04-30,April,2022,176.3
2022-05-31,May,2022,87.55
2022-06-30,June,2022,107.13
2022-07-31,July,2022,29.52
2022-08-31,August,2022,66.37
2022-09-30,September,2022,176.31
2022-10-31,October,2022,69.75
2022-11-30,November,2022,284.75
2022-12-31,December,2022,161.75
2023-01-31,January,2023,169.86
2023-02-28,February,2023,191.55
2023-03-31,March,2023,243.75
2023-04-30,April,2023,148.14
2023-05-31,May,2023,123.91
2023-06-30,June,2023,113.39
2023-07-31,July,2023,54.22
2023-08-31,August,2023,
2023-09-30,September,2023,
2023-10-31,October,2023,
2023-11-30,November,2023,
2023-12-31,December,2023,65.03
2024-01-31,January,2024,376.63
2024-02-29,February,2024,168.7
2024-03-31,March,2024,263.42
2024-04-30,April,2024,112.25
2024-05-31,May,2024,122.98
2024-06-30,June,2024,27.78
2024-07-31,July,2024,84.62
2024-08-31,August,2024,
2024-09-30,September,2024,
2024-10-31,October,2024,
2024-11-30,November,2024,
2024-12-31,December,2024,381.97
